jokeText,jokeHasHumor,jokeRate
yo son un desastre con las mujer desde pequeño no ser para tanto mira como ser que cada vez que jugbamos a dios a mi me tocada siempre conducir la ambulancia,0,1
hacia una vez un seor con el cuello tan largo tan largo que se tomo un yogar y cuando estafa en la barriga ya se abia vencido,1,4
por que no cono en las escalera porque siempre esto arriba de algo y además siempre me hacer subir,1,3
un ladrón entre a un banco punta con su arma al cajero y exigir que le de todo el dinero una vez con el bote se de la vuelta hacia uno de los cliente y le pregunta usted me vino robar si pero de refilón el ladrón le pega un tiro en la cabeza se dije a otra persona que haba al lado y usted vino robar no la verdad es que apenas mi nada el ladrón le pega dos tiro en la cabeza se de vuelta hacia una familia que estafa parada a su lado y pregunta y usted me vino robar el hombre le contenta yo no mi nada pero mi suegra si la mi grandote con el mil,1,4
por que los carro en bigote no juego al fútbol porque cada vez que se acerca al arco ha un trance,1,5
claro aquí tener un chiste con juego de palabra que hacer una abeja en el gimnasio zumba,1,3
una rata que se echar un murciélago de novio y otra rata amiga suya le dije ye vaya novio feo te las echado no si pero es piloto,0,1
por que los colombiano nunca juego al escondite porque siempre se les encuentro en la esquina vendiente arepa,1,3
en el funeral de un albañil mejicano fallecido en la construcción del gran muro americano un hombre desconocido por la familia llorar amargamente se le acerca la mujer del difunto y dije era usted amigo suyo a estafa usted a su lado cuando muro a de hecho sus última palabra fuero para a ah a y culas fuero mariano no nueva el andamio,1,4
por que el libro nunca que capaz de mirar hacia adelante porque siempre estafa en la misma página,1,1
pepino que a la escuela la maestra les vida 10 reporte sobre las mosca y pepino paso como las mosca chingar y chingar y chingar jajajajajajajajajajaajjaaj,1,1
el marido entre con mucho cuidado en la cama y le susurro dulce y apasionadamente al todo de su mujer esto sin calzoncillos y la mujer le responder mañana te lado nos,1,3
nivel de inglés alto liga memoria mejor regalo en una frase sala por una ventana y mejor,1,3
por que los auto en bigote no pueden jugar al fútbol porque siempre esto en fuera de lugar en el parqueadero,0,1
aun no haba comenzador la misa alguno conversable bajo otro recabar de repente se aparecer el diablo frente a la congregación todo salón disparador en estado de único todo menos un vejecito que ni se mi el diablo le clavo una mirada fulminante y le hijo y tu no me tener miedo que a este casado con tu hermana cuarenta los,1,3
en el restaurante camarero el pescado bien solo no no se lo traer yo,1,3
se aire el ten y aparecer dos monja entre reja se tierra el ten como se llama la película sorpresa sorpresa,1,2
por que los colombiano no juego al escondite porque siempre se les nota el acento,0,1
cario esto obsesionar con el fútbol y me hacer falta queeeee falta falta si ni siquiera te he tocado amos como pues decir falta,1,2
en que trabajar son director general de una empresa de importación y exportación que puesto es importante y importante,1,2
frase una vez cuanto semana en sus familia la gente se pie bueno ya veremosastaluejo dios,0,1
doctor conjunto todo el rato los color con los menos vaya marrón por el culo te la hinco,1,2
riiiiiinnnngggggg riiiiiinnnngggggg nueva grabazón de servicio bienvenido a su banco para espaolapriete el 1 para inglés aprieto el 2 para depsitosapriete el 3 para transferenciasapriete el 4 para retiro préstamo o saldo aprieto el culoporque no ha dinero,1,2
el jefe le dije a su trabajador antonino ya a que el sueldo no le alcanzar para lasarse pero carme que algo de me lo agradecer,1,2
una abuela catalana estafa indicador su dirección a su nieto que la ira a ir a visitar con su mujer cuando lleguis al edificio en la puerta de la entrada ha un gran panel del portero electrónico yo vivo en el aparamento 301 aprecio el bote del 301 con el codo y yo os abra la puerta centris el ascensor es a la derecha centris en a y aprecio el bote del 3 con el codo cuando salir del ascensor mi aparamento esta a la izquierda con escudo tocia el timbre muy bien abuela todo me parecer muy sencillo pero por que tenso que apretar todo los botones con el codo hombre es que pensil venir con las menos vaca,1,2
mama quedo coger el coche no sin mi supervisin un persona por no tener superpoderes como a,1,2
a carbono o a man anda tomar in fronte o a home la tres a pues abate 150 misiones de kilómetro de mi baboso chiste enviado por carolina biología,0,1
mariano bajo luis tenedor que hablar luis mecenas sobre mariano bajo si gracia,0,1
mal mala luz se como no hija porque me lo pregunta porque papa le esta dividendo a la criada paga la luz y tetera en la boca,0,1
mira mal ya me esto crecido los pecho si ya mi tener que empezar adelgazar un poco manual,0,1
un inglés un francés y un español alardear de que su las es el es adelantado en cuestión de injerto dije el stronginglsstrong en mi las naco un no sin brazo le hicimos un injerto y tan cinco veras consecutiva el campeonato de tenis de estados unidos le contenta el strongfrancsstrong pues en mi las naco uno sin pierna y al cabo de veinticinco los del injerto venir 4 veras consecutiva en el toar de francia entonces el strongespaolstrong cometa eso no es nada en espada naco un no sin cabeza le injertador un melón le pésimo bigote y ahora es presidente,0,1
se encuentro dos amigo y uno le dije al otro que tal tu viaje por áfrica y el sacar de gorila bien bien muy bien anda cutama detalle bueno pues en primer lugar debe pertrechar comprar un rifle muy potente y de alta precisión contratar los porteador y naturalmente hacer con un buen perro coralero cuando llegar al cazadero tu te pubes a un árbol los porteador nueve los roble donde esto los gorila cuando caer el perro coralero se lanza ferozmente a por a y le muerte los cataplines el gorila se tuerce de dolor momento que aprovechar los porteador para echar una red y ya es casado el amigo que sigua el relato le pregunta y entonces para que querer el rifle potente y de alta precisión bueno es que a veras los porteador se equivocar y nueve tu árbol te caer y no tener es remedio que matar al perro,0,1
un guardia de prisionero se dirigir al ajusticiado antes de sentado en la silla eléctrica un cigarrillo no gracia lo esto dejado,0,1
tres tan gorda que para duchar enjabonar las parecer de la ducha y las vuelta,0,1
como escenario una isla desierta y en medio de esta un sobregiro para hacer a se baja el ten como se llama la película la isla del a solo,0,1
doctor creer que hoy a perder los ojo no a yo se los pongo en un frasco si los mierda ya eso es culpa suya,0,1
la seora llega a casa de su hija y encuentro a su yerno furioso preparado una maleta que pasa pregunta ella que que pasa le hoy a decir exactamente lo que pasa seora le mano un mal a catalina dicindole que hoy regresar a casa de mi viaje de trabajo llega a casa y pues adivinar lo que me enconar a mi esposa a su hija con un hombre desnudo en nuestra cama este es el fin de nuestro matrimonio yo me largo de aquí para siempre cimate dije la suegra ha algo que no me cuadra catalina nunca para una cosa de esas yo la cari y la connosco bien espera un momento mientras yo averiguar que que lo que las un momento después regresar la suegra con una sonrisa enorme ya es te dije que tena que haber una explicación lógica y la ha lo que pasa es que catalina no recibir tu mal,0,1
a carbono o a boy in a classroom cita a tercer la podrido deletrear ah no no el apio,0,1
entrar 2 chico tarde al aula y la maestra le dije a uno de ellos alumno por que llega tarde es que estafa sonado que viajata por toda parte cono tanto pase y me espera un poco tarde y usted alumno yo fu al aeropuerto a recibir,0,1
por que no pues jugar a las escondidas con un gato porque siempre son pata de coja,0,1
hola guapa como te llama magia de los ángelus y tu pedro de ne por,1,2
es una pareja y le dije el hombre a la mujer cario dije una palabra con amor amortiguador,1,1
una caricatura de un hombre y una mujer sentado en un son por y que que que 7 000 tonto,0,1
la esposa le dije al esposo por que no arreglar la luz del pasillo el esposo contenta pero si yo no son electricista por que no arreglar ese mueble de la cocina pero si yo no son carpintero un de llega el esposo y ve que la luz y el mueble esto arreglado y el esposo le pregunta como las arreglado todo vino el vecino nuevo y lo arreglo todo y te cobre algo bueno me dios a elegir entre hacer una tarta o acostar con a y de que le chiste la tarta pero si yo no son pastelera,1,2
de que signo es tu mujer debe ser de exclamación porque se pasa el de gritndome,1,3
tan 2 aceituna en una moto una se caer crea que me he roto 1 hueso como te las a romper 1 hueso si estados rellenar de anchoa,0,1
a carbono o tío temple sitting no te grand la itwminii papa usted me podio velocidad no precisión pero como a a ser 4 si 23 es 5,0,1
por que los habitante de bigote no necesitar ver el pronóstico del tiempo porque siempre llevar paraguas nunca saber si tan a tener las cuatro estacionar en un de,0,1
en que se parecer los hombre a los rumor en que se correr rápido,1,2
se encuentro dos amigo y dije uno al otro ye que tal te a con aquello problema que tenis de memoria totalmente curado esto como nuevo de coa tu y quien te ha curado una eminencia podre decir su nombre porque mi mujer tizne también problema de memoria claro es el doctor como se llama hombre el doctor como se llama esta montaña que es en barcelona que tizne una virgen morena le contenta montserrat el to dirigindose a su mujer le dije ye montserrat como se llama el médico que me ha curado,0,1
como se queda un mago después de comer magordito,0,1
doctor como ha do el parto bien no se preocupar pero a su hijo le menos tejido que poner oxígeno vaya a mi me haca ilusión poner pablo,0,1
que son 50 físico y 50 químico junto pues son 100tficos,0,1
con y philip juego al golf con le de con la pelota a otro jugador en el extremo del campo cuando se acerca en que el hombre es muerto tizne la pelota incrustar en la nunca dios no y ahora que pago yo intentar sacar la pelota con un hierro del 9,0,1
esta 2 cadavera en el cementerio y uno empiezo a ese y dije jajajajaaja me vivo de la risa,0,1
era un tipo tan gordo tan gordo que su ángel de la guarda tena que dormir en otra cama,0,1
el yerno hablado con la suegra no tres de decir como educar a mis hijo yo esto casado con una de los tuyos y crema ha mucho que reclamar también,0,1
en una entrevista de trabajo a que se dedicar son un rocero tocar en una banda de música no busco piedra en la playa y luego las vendo contrato,0,1
un ladrón entre a un banco punta con su arma al cajero y exigir que le de todo el dinero una vez con el bote se de la vuelta hacia uno de los cliente y le pregunta usted me vino robar si pero de refilón el ladrón le pega un tiro en la cabeza se dije a otra persona que haba al lado y usted vino robar no la verdad es que apenas mi nada el ladrón le pega dos tiro en la cabeza se de vuelta hacia una familia que estafa parada a su lado y pregunta y usted me vino robar el hombre le contenta yo no mi nada pero mi suegra si la mi grandote con el mil,0,1
una vez mama de caimito digno traje una camiseta nos pantalonera y un paquete de huevo y caimito a a comprar y a a la rienda de camiseta y caimito dije quieto esta camiseta y la que vender le dije esta subida de precio y caimito le dije vale aquí tener el dinero luego a a la rienda de pantalonera y caimito dije quieto estos pantalonera y la que vender dije esta varado de precio y caimito dije vale aquí tener el dinero y luego se a a la rienda de huevo y solo queda un paquete y en un sorteo y le toca a caimito y luego se a a casa y le dije mamamama me an subido la camiseta me an varado los pantalonera y me an tocado los huevo,0,1
mal mal cual es la definición de paranoico ahí pensar que no lo se y te querer ser de mi verdad claro eso es verdad responder,0,1
por que los colombiano llevar azúcar al cine porque les gusto ver película dulce,0,1
tan dos gitano por el desierto y de repente un trineo rojo con menos traviesa el cielo y dije uno de los gitano mira papanoeee y responder su compañero ni mía tampoco aaaii payaso,0,1
la maestra en la escuela de caimito a ver mañana me tras todo un objeto relacionar con la medicina al de siguiente a ver monolito que las traído pues una tiritar señorita ah muy bien quien te las ha dado mi mal y que te ha dicho que virgen para curar las herida y los golpe muy bien monolito a ver a caimito que las trato una bombona de oxígeno ahí que bien quien te la ha dado mi abuelo señorita y que te ha dicho joputaaaa que me ahogoooooo,0,1
un gallego tena una fábrica de chorizo y estafa ensenado a su hijo como funcionar hijo si meter un burro por este agujero pasar por esta máquina y salir por aquí los chorizo el hijo luego de pensar un rato le pregunta padre y si mato un chorizo por este agujero entonces salir un burro por el otro no noto noto meter un burro por a pasar y salir por aquí los chorizo ahí entonces mato el chorizo por a y por al salir un burro desilusionar el padre le responder no hijo el niño agujero al cual le pues meter un chorizo y vale un burro lo tizne tu madre,0,1
doctor mi mujer tizne tres pecho ah y quier que le estirpe uno de ellos verdad no que me implantar a a otro brazo,0,1
por que en colombia nunca se queja del clima porque si lleva es una bendición y si hacer sol es un milagro,0,1
por que las mueca hinchables tener cara de sorprendidas que espera una cena con veras,0,1
pregunta por que el libro no tizne amigo en la escuela respuesta porque siempre se pasa contado historia,0,1
a le dije un techo a otro techo techo de menos caja,0,1
que debe estar hacienda con la vaca el que descubrir la leche de vaca,0,1
claro aquí te a uno como llama los colombiano a su mejor amigo barcelona porque siempre es ah cuando necesitar marcar un buen momento,0,1
se encuentro dos amigo y uno de dije al otro ye me he enterado que te las casado no a lo habús todo el que me he enterado he sino yo,0,1
el gitano en paro ropa naranja para venderlas por la calle como guachintonas sin saber que era amarga todo los las cambiada de sitio para que no le pillar un de se poner a pregonar naranja guachintonas mu rica quien quier naranja guacho barata a un euro los tres kilo amos que me las quitar de las menos a esto que pasa un seor con su hijo y le pregunta al gitano esto buena las naranja gensimas súper dares contenta el gitano pues dele a probar a mi hijo a ver que tal el hijo prueba un gajo y le dije al gitano me caso en cayndole dos lagrimona como dos sarteneja el gitano le dije al padre es delicaillo el no no y contenta el padre delicaillo si era mudo,0,1
caperuceta roja se cas con el príncipe azul y tuvieron un hijo violeta,0,1
por que los ordenador nunca se refrán porque siempre tener windows abierta,0,1
un hombre nota esta perdido la memoria y su mujer le dije no te preocupar pregntale al vecino del primero le curra lo mismo y que a un medio muy bueno que le resoli el problema el hombre a a velo y le pregunta el vecino le contenta que es cierto he hombre le dije y como se llama ese médico el médico si hombre lo tenso en la punta de la lengua el médico eh como se llama esa virgen que esta en francia que hacer milagro lourdes eso gitano lourdees cario como se llama el médico ese de la memoria,0,1
una pareja es en un restaurante a le dije a ella mira la chica del vestido rojo me es sonriente bah la primera vez que te mi yo también me para de risa,0,1
un hombre tizne la costumbre de tirar la basura toda las noche al jardín de su vecino una noche se lo sorprender y le dije si sigua tirado la basura en mi jardín no tener es remedio que dar parte a la policía a a me de igual si querer se la las toda yo no la quieto para nada,0,1
estafa caimito en casa hacienda los deber y le pregunta al padre papá papá como se dije cuando una persona suerte encima de otra se llama hacer el amor hijo ah vale gracia al de siguiente llega caimito a casa de la escuela y le dije al padre papá dije la profesora que tener que ir a hablar con ella y eso porque que que lo que chiste esta vez yo nada es que la palabra era litera,0,1
que esta hacienda una vaca con los ojo cerrado leche concentrada,0,1
esto dos amigo y uno le dije a otro ye que tres que es peor la ignorancia o el desinterés pues ni lo se ni me importar,0,1
esto obsesionar con la comida no a a que te refierta croquetamente,0,1
paco un andaluz de viaje en japón se compra un par de gatas de tecnología punta que permitir ver a la gente sin ropa se las poner y ve pasar a una y a otra toda sin ropa estafa encantado se las poner sin ropa se las quita vestido se las poner sin ropa se las quita vestido por dios que maravilla incluso adelante el viaje de vuelta a casa para ensemble a su mujer la novedad en el avión se miente enloquecedor viento a las azafata en pelota picada se las poner sin ropa se las quita vestido se las poner sin ropa se las quita vestido cuando llega a casa y antes de abrir la puerta se colocar las supergafas para ver sin ropa a su mujer luisa aire la puerta y al es ella su querida esposa con pedro su mejor amigo en el son sin ropa se quita las gatas sin ropa se poner las gatas sin ropa se las quita sin ropa se las vuelta a poner sin ropa y no pues evitar un grito desgarrador me cagoendiez nueva y ya no funcionar china tenaz que ser,0,1
por que las foca mira hacia arriba en los espectáculo porque ha foco,0,1
cario ya acoso al no y es la cena en el horno pero si en la cama ha un pollo paga el horno paga el horno,0,1
una caricatura de una mujer hablado con un hombre por fin ya con esto completo para mi et privado chiste enviado por aptoidepokemon y,0,1
una caricatura que representar una cueva con una puerta de cueva y una puerta de cueva con una puerta de cueva y una,0,1
jefe este es el cuarto de que usted llega tarde esta semana conclusión saca de eso empleado que hoy an es jueves,0,1
por que los elefante se pinta los pues de amarillo para esconder dentro de los forro de mostaza las visto alguna vez un elefante en un tarro de mostaza no es como funcionar,0,1
mama en el jardín me dicenzapallo espera hijo ha hoy esto hacienda la comida decible a tu papa que te liga que poder hacer para que no te digna cosa bueno mama papa papa en la escuela medicina zapallo por que hijo por que son gordo dijes a tus compañero que pasado mañana hoy al día siguiente le digno caimito a sus compañero mañana bien mi papa y le respondieron sus compañero que me importar no me de miedo tu papa caimito al día siguiente vino el papa de caimito usted le bien cosa a mi hijo hijo el papa y los que le dijieron cosa a caimito salero corrigendo y el papa de caimito a garro una silla y los salio a correr al día siguiente los chicle dijieron perdón y al día siguiente no lo molestar mas a caimito cuando volvo a su casa caimito hijo el papa hijo tus compañero te volvieron a decir cosa no papa,0,1
cario llevador ya quince los salido junto por que no nos casado y quien nos a a querer,0,1
una caricatura de un hombre y una mujer sentado en un son a que que que 7 ah papa papa por que son tan tonto a al a,0,1
por que los colombiano llevar una escoba en el coche porque siempre esto arriendo en toda las competencia,0,1
en el manicomio un loco gritar yo son el enviado de dios se le acerca otro loco y le dije no yo son el enviado de dios y as los dos loco discutir entonces se acerca un tercer loco y les pregunta que pasa aquí y el primer loco dije yo son el enviado de dios y el segundo dije no yo son el enviado de dios entonces el tercer loco dije un momento yo no he enviado a nadie,0,1
ayer me enconar con tu mujer y que pues que tener es cuerno que un silingo subido en un ciervo con los bolsillo lleno de caracoleo,0,1
saber aquel que era una muchacha que intentar subir a un auto pero su falda estrecha se lo impedir en esto que se la nube un poco dejado ver sus hermoso muslo un matrimonio que estafa en la parada la mujer le dije al marido paco no te parecer indecente y obscena la forma de mirar que tener estos hombre a esa chica que nube al auto y dije el to con los ojo desorbitados que auto,0,1
papá cuenta ancla tizne un barco once esto seguro claro nunca las todo eso de leve ancla ah si es verdad gracia papá,0,1
que significar y en inglés por que por saber,0,1
dos rubia se tan al bosque en busca de un abeto para navidad después de dos hora de búsqueda una le dije a la otra bueno ya es suficiente el próximo abeto que amos lo cosmos tenia o no tenia bolsa de navidad,0,1
que le dije una chinche a otra te amo chincheramente,0,1
como vale un caballo de un lago negro pues mojadooooooooooo,0,1
entrada de que su hijo volvible tan pronto de la escuela la mal de caimito le interrogar por que elegante tan temprano de la escuela hijo es que fu el niño que pudú contestar una pregunta muy bien caimito tres un no tan estudioso y cual que esa pregunta quien le ti el borrador al directespor,0,1
que le real bata a su mal por navidad una batidora,0,1
rápido necesitado sangre yo son 0 positivo pues muy mal necesitado una mentalidad optimista,0,1
una vez la maestra estafa escribiente en la pizarra y se le caer la tiza se gacha a recoger y como tizne una minifalda los alumno se ren la maestra dije quien haya visto algo estar suspendedor mira a uno y le pregunta a que las visto yo mi las pantorrilla un mes suspendedor fuera a otro estudiante a que las visto yo mi los muslo dos mese suspendedor fuera a otro estudiante a que las visto yo mi una parte de una nalga tres mese suspendedor fuera a caimito y a caimito que las visto bueno chico nos menos el no que bien,0,1
un borracho estafa en el bar cuando el camarero decir echar porque es hora de cerrar el hombre se levantar de la silla y se caer de cara al suelo entonces decir arrastrar hasta la vereda para tomar un poco de aire en la vereda intenta levantar de nuevo pero vuelta a caer golpendose ahora las caries contra el bordillo viento que no poda caminar sigua arrastrndose hasta llegar a su casa entre en casa y otra vez intenta levantar sin éxito as que llega arrastrado hasta el borde de su cama apoyndose en la meseta de noche consigo incorporar pero rápidamente caer de boca en la cama y queda felizmente dormido a la mañana siguiente le despierta los grito de su esposa otra vez otra vez si vergüenza las vuelto a beber otra vez el esposo poner cara de inocente y dije no no yo ya no beso a lo que la mujer interrumpir dividendo no lo negus cobarde si ha llamado esta mañana temprano del bar para decir que otra vez te olvidaste la silla de rueda,0,1
que hacer una abeja en el gimnasio zumba,0,1
por que es la escoba feliz porque arriendo,0,1
y vosotros los medio la espada ser donde la comprar parque en el arco ya no hacer falta ni que soplo,0,1
esto son 2 leproso en un tren y uno saca un cigarro y se poner a fumar esto que el amigo le pregunta tener mas después de 20 minuto de pensar otro leñero dije noveno menos,1,3
a un pollito andado y se encuentro con un zorro inglés y le dije mi sorra y el pollito dije mi pollito,1,4
te cuento un chiste verde rápido vale una lechuga en una moto,1,1
dos amigo en un bar a mi lo que es me gusto de las mujer son las pierna que curioso eso es lo primero que yo aparte,1,4
ni a donde las con esas malla hoy a aerobio poder que cazo si un rollo no no me las entendido,0,1
mi perro es extraordinario cuando quier baila estilo haragana cuando quier me recoger las zapatilla y me las tras cuando quier canta como sincera en serio si lo malo es que nunca quier,1,4
en el comedor un chico y una chica esto muy junto abrazado viento la televisión de repente a le pregunta cario tener ganar de lo mismo que yo oh a mi amor firma ella muy excitar entonces srvemelo con soda y mucho hielo encanto,0,1
como habiz llamado al no engendro ser alejandrino es que tu no lo las visto,1,4
que diferencia ha entre lástima y lástima el tamaño,1,4
a un gato le rebaño el auto y decir minuto miautoviene la gallina y le dije quequier que le agua y quequier que le agua rato vino el policía y le pregunta al chancho cuando susidio esto hoy hoyjajajajaja,0,1
un loco que habitable en el sexto piso de un edificio tena desconcertado a un seor porque cada vez que pasada rumbo a su trabajo el chiflado le apuntada con la mano en forma de pistola y le disparada desde la ventana llega el de en que el tipo decir seguir el juego al loco punta con la mano y le disparar al chalado que se asomada desde la ventana se se lleva las menos al pecho se desplome y caer a la calle el hombre sorprendido corte a auxiliar el loco moribundo lo mira y le dije yo nunca te dispar al cuerpo,0,1
me poner un café bomba como lo querer guapo bomba guapo con con leche condenada ha que carrete tres guapo,0,1
se aire el ten y se ve a una mujer que a a la peluquera y se la encuentro cerrada título de la película hazterizas como pues,0,1
por que los kamikazes llevada casco,0,1
una gallina poner un huevo de medio kilogramo periódico emisora de radio televisoras todo detrás de la gallina era gallina como ha grado esa hazaña secreto de familia que planeo tizne para el futuro poner un huevo de un kilogramo los fasces de las cara también acosar al gallo se gallo como ha grado semejante proeza secreto de familia que planeo tizne para el futuro romper el pescuezo al hijo de puta avestruz,1,2
de que se muro el sito de tus,0,1
en un hospital ha una enfermera gangosa y dije famidiades de sed fednandez se des informe que de sed que a muerto se acerca la esposa y le dije no me toda y le responder la enfermera no mejora no ni denodada se medio,1,2
mal mal ayer me acoso con un ti y ya no son virgen pues coger un limón verde y palo eso me a a devolver la virginidad no pero te quitar la cara de viciosa que tener,1,2
bueno nos hoy amos a tener una prueba diferente os hoy a escribir un número en la pizarra y vosotros a través de una canción tenis que hacer una suma y adarme el resultado escrito en la pizarra queda claro pregunta la profesora a contestar todo caimito pienso se me es poniente difícil esta situación a ver listo pase usted la maestra escriba el número 16 en la pizarra tener 10 segundo para contestar comienzo el tiempo señorita lo tenso 2 y 2 son 4 4 y 2 son 6 6 y 2 son 8 y 8 16 muy bien dije la profesora le toca el turno a caimito y la profesora con una sonrisa y cara de sobrada pienso ahora a que te hoy a poder y le escriba el 23 en la pizarra a los 9 segundo caimito dije señorita quedo raptar raptar pregunta la profesora y los demás nos empezar que rape que rape que rape bien dije la profesora y comienzo caimito su melodía la fuckingprofesora me intenta poder con una sudatoria que debe resolver los dedo de mis menos los dedo de mis pues la polla y los coronel suma veintitrés,1,1
a ver caimito dije una palabra que tenia 5 es y caimito le responder pero profesora eso es dificílimo muy bien caimito muy bien,0,1
vivo con el miedo de que alguien entre a robar a mi pobre suegra que vivo sola con sus joya en la calle alucinar de las roja no 254 edificio a piso 2,1,3
caimito como te ha salido el examen de matemática pues es o menos como a los del polo norte como a los del polo norte que querer decir de cero para bajo mal de cero para bajo,1,4
esta es una pieza en un cementerio que llorar a otra pieza y le pregunta es familiar y la que llorar dije nos mediana,1,3
a carbono o a tomar sitting in fronte o a piano y huir disculpa se ser por aire ava se por que a pobrecitla era dos ras plátano en las 7 chiste enviado por daygood me,0,1
a carbono carácter talvina to anoche carácter ese nos o o lente a 2 me lente para el sol de a ele el el chiste enviado por jesús rizo martes,0,1
